"Kods","RegNr","Regions","Nosaukums","Adrese","Epasts","Talrunis","DirektoraVards","DirektoraUzvards","Plusma","Izglitojamie","Urbanizacija"
351304,"3513900765","Rīgas Kurzemes rajons","Rīgas 34. vidusskola","KANDAVAS IELA 4, KURZEMES RAJONS, RĪGA, LV-1083","r34vs@riga.lv","67458895, 67459090, 67459319","NATAĻJA","ROGAĻEVA","Krievu",1312,"riga"
351305,"3513900768","Rīgas Kurzemes rajons","Rīgas 41. vidusskola","SLOKAS IELA 49A, KURZEMES RAJONS, RĪGA, LV-1007","r41vs@riga.lv","67459622, 67459522","VITĀLIJS","POĻAKOVS","Latviešu",574,"riga"
351306,"3513900764","Rīgas Kurzemes rajons","Rīgas 54. vidusskola","BALTĀ IELA 22, KURZEMES RAJONS, RĪGA, LV-1055","r54vs@riga.lv","67460338, 67462267","GAĻINA","GUSAKOVA","Krievu",430,"riga"
351307,"3513900770","Rīgas Kurzemes rajons","Iļģuciema vidusskola","DZIRCIEMA IELA 109, KURZEMES RAJONS, RĪGA, LV-1055","icvs@riga.lv","67469690, 67469190","IVETA","TAURIŅA","Latviešu",536,"riga"
351308,"3513900766","Rīgas Kurzemes rajons","Rīgas Daugavgrīvas vidusskola","PARĀDES IELA 5C, KURZEMES RAJONS, RĪGA, LV-1016","rdvs@riga.lv","67432168, 67430210, 67431152","OLGA","SEĻUTINA","Krievu",538,"riga"
351310,"3513900774","Rīgas Kurzemes rajons","Rīgas 69. vidusskola","IMANTAS IELA 11A, KURZEMES RAJONS, RĪGA, LV-1067","r69vs@riga.lv","67454171, 67422322","JURIS","VENCKUS","Latviešu",343,"riga"
351311,"3513900776","Rīgas Kurzemes rajons","Rīgas 96. vidusskola","AURU IELA 6A, KURZEMES RAJONS, RĪGA, LV-1069","r96vs@riga.lv","67411942","IRMA","ĻIHAČOVA","Krievu",863,"riga"
351312,"3513900772","Rīgas Kurzemes rajons","Rīgas 71. vidusskola","IĻĢUCIEMA IELA 6, KURZEMES RAJONS, RĪGA, LV-1055","r71vs@riga.lv","67467655, 67468198","ANDREJS","RIŽIKOVS","LK",821,"riga"
351313,"3513900775","Rīgas Kurzemes rajons","Rīgas Ostvalda vidusskola","DAMMES IELA 20, KURZEMES RAJONS, RĪGA, LV-1067","rovs@riga.lv","67423748, 67422819","JEĻENA","IVANOVA","Krievu",895,"riga"
351314,"3513900767","Rīgas Kurzemes rajons","Rīgas Anniņmuižas vidusskola","KLEISTU IELA 14, KURZEMES RAJONS, RĪGA, LV-1067","ramvs@riga.lv","67416561, 67416663","TATJANA","PULLE","Krievu",810,"riga"
351316,"3513900773","Rīgas Kurzemes rajons","Rīgas Imantas vidusskola","KURZEMES PROSPEKTS 158, KURZEMES RAJONS, RĪGA, LV-1029","rimvs@riga.lv","67412606, 67412618","INGŪNA","HELVIGA","Latviešu",712,"riga"
351380,"3513800288","Rīgas Kurzemes rajons","Privātskola ""Latreia""","KULDĪGAS IELA 45, KURZEMES RAJONS, RĪGA, LV-1083","latreia@btv.lv","67624995","VALDIS","KRŪMIŅŠ","Krievu",112,"riga"
351382,"3513802325","Rīgas Kurzemes rajons","Privātā vidusskola ""Templum""","MEŽA IELA 4, KURZEMES RAJONS, RĪGA, LV-1048","templum@inbox.lv","67619150","ALEKSANDRA","SIŅENKO","Krievu",38,"riga"
351383,"3513802582","Rīgas Kurzemes rajons","Privātā vidusskola ""Patnis""","GREGORA IELA 13a, KURZEMES RAJONS, RĪGA, LV-1046","patnis@patnis.lv","67622161, 67615743","AGNESE","PŪTELE","Latviešu",196,"riga"
351384,"3513803052","Rīgas Kurzemes rajons","Rīgas Starptautiskā skola","ZVEJNIEKU IELA 12, KURZEMES RAJONS, RĪGA, LV-1048","isr@isriga.lv","67624622","LEE MARTIN","CHALKLY","Angļu",212,"riga"
354337,"3331301251","Rīgas Kurzemes rajons","Rīgas Doma kora skola","MEŽA IELA 15, KURZEMES RAJONS, RĪGA, LV-1048","rdks@rdks.lv","67804780, 67804770","SARMĪTE","ANDŽĀNE","Latviešu",218,"riga"
354356,"3331301249","Rīgas Kurzemes rajons","Emīla Dārziņa mūzikas vidusskola","KALNCIEMA IELA 10/12, KURZEMES RAJONS, RĪGA, LV-1048","kanceleja@edmv.lv","67612332",,,"LK",267,"riga"
361202,"3612900689","Rīgas Latgales priekšpilsēta","Andreja Pumpura Rīgas 11. pamatskola","MASKAVAS IELA 197, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019","ap11ps@riga.lv","67141237, 67141338","RENĀTE","LINDE","Latviešu",575,"riga"
361205,"3612900688","Rīgas Latgales priekšpilsēta","O.Kalpaka Rīgas Tautas daiļamatu pamatskola","SKRINDU IELA 1, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003","tdaps@riga.lv","67037962, 67037964, 67037965","ALLA","ŠTOLCERE","Latviešu",544,"riga"
361209,"3612900249","Rīgas Latgales priekšpilsēta","Jankas Kupalas Rīgas Baltkrievu pamatskola","ILŪKSTES IELA 10, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082","jkbkps@riga.lv","67247545","ANNA","IVANE","Baltkrievu",163,"riga"
361210,"3612902818","Rīgas Latgales priekšpilsēta","Rīgas Lastādijas internātpamatskola","MASKAVAS IELA 178, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019","rlastivs@riga.lv","67141039, 67141047","SVETLANA","JEGOROVA","LK",200,"riga"
361211,"3612902865","Rīgas Latgales priekšpilsēta","Rīgas Pļavnieku pamatskola","JĀŅA GRESTES IELA 14, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1021","plavniekups@riga.lv","67246868, 67246870","ELĪNA","DREIMANE","Latviešu",657,"riga"
361212,"3612902961","Rīgas Latgales priekšpilsēta","Rīgas Avotu pamatskola","AVOTU IELA 44, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009","raps@riga.lv","67272981, 67315589","IRĒNA","KRŪMA","Latviešu",191,"riga"
361283,"3612801468","Rīgas Latgales priekšpilsēta","Privātā pamatskola ""Maksima""","BULTU IELA 10, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057","maksima@maksima-edu.lv","67187029","INĀRA","KUHARJONOKA","Krievu",82,"riga"
361285,"3612802850","Rīgas Latgales priekšpilsēta","Privātā pamatskola ""RIMS-Rīga International meridian school""","SLĀVU IELA 2, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019","rigarims@gmail.com","67263075",,,"LK",77,"riga"
361286,"3612800299","Rīgas Latgales priekšpilsēta","Pamatskola ""Harmonija""","ERNESTA BIRZNIEKA-UPĪŠA IELA 12, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1050","harmonija.skola@gmail.com","67806452","SKAIDRĪTE","ČEREVKO","Latviešu",67,"riga"
361301,"3613900684","Rīgas Latgales priekšpilsēta","Rīgas 6. vidusskola","ALEKSANDRA ČAKA IELA 102, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1011","r6vs@riga.lv","67314044, 67314244","HARALDS","BĀRZDIŅŠ","Latviešu",938,"riga"
361303,"3613900677","Rīgas Latgales priekšpilsēta","Rīgas 15. vidusskola","VISVALŽA IELA 9, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1050","r15vs@riga.lv","67288754, 67288623","NATAĻJA","KUBASOVA","Krievu",478,"riga"
361304,"3613900678","Rīgas Latgales priekšpilsēta","Rīgas 25. vidusskola","RUŠONU IELA 6, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057","r25vs@riga.lv","67848924, 67848925","INGA","NESTERE","Latviešu",857,"riga"
361308,"3613900685","Rīgas Latgales priekšpilsēta","Rīgas 51. vidusskola","MASKAVAS IELA 262, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063","r51vs@riga.lv","67187896, 67187010","NADEŽDA","AKOPJANA","Krievu",604,"riga"
361309,"3613900680","Rīgas Latgales priekšpilsēta","Rīgas Ķengaraga vidusskola","MASKAVAS IELA 273, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1063","rkvs@riga.lv","67187888, 67187004","IVETA","SKRASTIŅA","Krievu",659,"riga"
361310,"3613900665","Rīgas Latgales priekšpilsēta","Rīgas Sergeja Žoltoka vidusskola","VIETALVAS IELA 15, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1035","rszvs@riga.lv","67574145, 67570997","VACLAVA","PLUČA","LK",378,"riga"
361313,"3613900664","Rīgas Latgales priekšpilsēta","Rīgas 65. vidusskola","PRŪŠU IELA 32, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057","r65vs@riga.lv","67189120, 67189119","LUDMILA","VASIĻJEVA","Krievu",459,"riga"
361314,"3613900670","Rīgas Latgales priekšpilsēta","Rīgas 72. vidusskola","IKŠĶILES IELA 6, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057","r72vs@riga.lv","67267110, 67268978","ALEKSANDRS","ANZUĻEVIČS","Krievu",1228,"riga"
361315,"3613900682","Rīgas Latgales priekšpilsēta","Rīgas 75. vidusskola","OGRES IELA 9, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019","r75vs@riga.lv","67145781, 67145843","LUDMILA","KAŠINA","Krievu",578,"riga"
361317,"3613900683","Rīgas Latgales priekšpilsēta","Rīgas 86. vidusskola","ILŪKSTES IELA 10, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082","r86vs@riga.lv","67247436, 67136008","ANŽELA","DMITRIJEVA","Krievu",663,"riga"
361318,"3613900672","Rīgas Latgales priekšpilsēta","Rīgas 88. vidusskola","ILŪKSTES IELA 30, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082","r88vs@riga.lv","67810722, 67810729","ŅINA","LABADA","Krievu",1277,"riga"
361320,"3613900679","Rīgas Latgales priekšpilsēta","Rīgas 92. vidusskola","ULBROKAS IELA 3, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1021","r92vs@riga.lv","67247854, 67246009","NATAĻJA","VASILIKA","Krievu",829,"riga"
361321,"3613900669","Rīgas Latgales priekšpilsēta","Rīgas 93. vidusskola","SESKU IELA 72, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082","r93vs@riga.lv","67575557, 67599990","VALDIS","KRASTIŅŠ","Latviešu",534,"riga"
361323,"3616900675","Rīgas Latgales priekšpilsēta","Rīgas pilsētas Pļavnieku ģimnāzija","ANDREJA SAHAROVA IELA 35, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082","rppg@riga.lv","67172636, 67174306","EDVĪNS","ŠILOVS","Latviešu",191,"riga"
361324,"3613900676","Rīgas Latgales priekšpilsēta","Rīgas Kristīgā vidusskola","AUGUSTA DEGLAVA IELA 3, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009","rkrvs@riga.lv","67273824","IVETA","GAILE","Latviešu",220,"riga"
361325,"3613900788","Rīgas Latgales priekšpilsēta","Rīgas Ukraiņu vidusskola","VISVALŽA IELA 4, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1050","rukvs@riga.lv","67288515, 67284779, 67287708","LIDIJA","KRAVČENKO","Ukraiņu",230,"riga"
361327,"3613901263","Rīgas Latgales priekšpilsēta","Rīgas Lietuviešu vidusskola","PRŪŠU IELA 42A, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057","rlvs@riga.lv","67258281, 67131506","BROŅISLAVA ALDONA","TREIJA","Latviešu",386,"riga"
361328,"3613903047","Rīgas Latgales priekšpilsēta","J.G.Herdera Rīgas Grīziņkalna vidusskola","LAUKU IELA 9, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1009","rherdvs@riga.lv","67848952, 67848951","VERA","PRIDAČA","Krievu",614,"riga"
361329,"3613903082","Rīgas Latgales priekšpilsēta","Rīgas Austrumu vidusskola","VIĻĀNU IELA 13, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003","ravs@riga.lv","67143730","LUDMILA","LAHOVA","Krievu",555,"riga"
361381,"3616800446","Rīgas Latgales priekšpilsēta","Rīgas ģimnāzija ""Maksima""","BULTU IELA 10, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057","maksima@maksima-edu.lv","67187029","INĀRA","KUHARJONOKA","Krievu",19,"riga"
361385,"3613801080","Rīgas Latgales priekšpilsēta","Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""","LOMONOSOVA IELA 1 k-6, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1019","skola@isma.lv","67218501, 67218503","INGA","BRIČINSKA","Krievu",199,"riga"
361386,"3613802902","Rīgas Latgales priekšpilsēta","Privātā alternatīvā vidusskola","STABU IELA 63, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1011","airisasteinberga@inbox.lv","26178824","SILVIJA","APSE","Latviešu",14,"riga"
361388,"3613802155","Rīgas Latgales priekšpilsēta","Habad Ebreju privātā vidusskola","LĀČPLĒŠA IELA 141, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003","habad.skola@online.lv","67204032","JŪLIJA","GOMOĻA","Krievu",40,"riga"
361389,"3613801984","Rīgas Latgales priekšpilsēta","Privātā vidusskola ""Norma""","AUGUSTA DEGLAVA IELA 120, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1082","skolanorma@inbox.lv","22343000","ELVĪRA","SITŅIKA","Krievu",32,"riga"
361401,"3614900691","Rīgas Latgales priekšpilsēta","Rīgas vakara ģimnāzija","GAIZIŅA IELA 1, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1050","rvakg@riga.lv","67220025","JĀNIS","JAPIŅŠ","LK",819,"riga"
361581,"3615802846","Rīgas Latgales priekšpilsēta","Tālmācības vidusskola ""Rīgas Komercskola""","SALASPILS IELA 14, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057","info@rigaskomercskola.lv","67828055","ILZE","BEĻINSKA","Latviešu",332,"riga"
362201,"3622900692","Rīgas Latgales priekšpilsēta","Rīgas 2. speciālā internātpamatskola","LUDZAS IELA 43, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1003","r2sips@riga.lv","67144186, 67144188","IVARS","UPENIEKS","LK",174,"riga"
362202,"3620900693","Rīgas Latgales priekšpilsēta","Rīgas speciālā internātpamatskola","AGLONAS IELA 57, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057","rspecips@riga.lv","67261388","TATJANA","BARANOVA","Krievu",319,"riga"
362204,"3624900694","Rīgas Latgales priekšpilsēta","Rīgas Valda Avotiņa pamatskola - attīstības centrs","SALASPILS IELA 14, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1057","rvapsac@riga.lv","67271125, 67277707","IRIDA","JANSONE","Latviešu",259,"riga"
362401,"3624903100","Rīgas Latgales priekšpilsēta","Rīgas 5. internātpamatskola - attīstības centrs","SLĀVU IELA 19, LATGALES PRIEKŠPILSĒTA, RĪGA, LV-1073","r5sips@riga.lv","67248485, 67505089","ILUTA","VILNĪTE","Latviešu",149,"riga"
371180,"3711802689","Rīgas Vidzemes priekšpilsēta","Privātā sākumskola ""Namiņš""","ĀRAIŠU IELA 32, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039","namins2000@inbox.lv","67530206, 26443766","SANDRA","INDRIKSONE","Latviešu",39,"riga"
371181,"3711802974","Rīgas Vidzemes priekšpilsēta","Rīgas Kristīgā sākumskola","BRĪVĪBAS IELA 177 - 21, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1012","infopamatskola@gmail.com","29269335","DIĀNA","GULBE","Latviešu",24,"riga"
371183,"3711803040","Rīgas Vidzemes priekšpilsēta","Rīgas pilsētas sākumskola","AIZPRIEŽU IELA 34, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1006","rigassakumskola@gmail.com","29867208, 29125540",,,"Latviešu",15,"riga"
371203,"3712900760","Rīgas Vidzemes priekšpilsēta","Mežciema pamatskola","HIPOKRĀTA IELA 29, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1079","mcps@riga.lv","67536888","SILVIJA","TIKMERE","Latviešu",609,"riga"
371204,"3712902971","Rīgas Vidzemes priekšpilsēta","Rīgas Ezerkrastu pamatskola","MALIENAS IELA 89, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1064","ezervs@riga.lv","67533917, 67532010","MENĀDE MĀRA","JANSONE","Latviešu",160,"riga"
371301,"3713900740","Rīgas Vidzemes priekšpilsēta","Rīgas Franču licejs","MĒNESS IELA 8, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013","rfl@riga.lv","67372949, 67501623","BIRUTA","VĪKSNA","Latviešu",820,"riga"
371305,"3713900750","Rīgas Vidzemes priekšpilsēta","Rīgas 21. vidusskola","TOMSONA IELA 35, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013","r21vs@riga.lv","67371041, 67371143","OKSANA","DAŅIĻENKO","Krievu",500,"riga"
371307,"3713900746","Rīgas Vidzemes priekšpilsēta","Rīgas Teikas vidusskola","AIZKRAUKLES IELA 14, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1006","rtvs@riga.lv","67553262, 67552897","ILONA","BERGMANE","Latviešu",1160,"riga"
371309,"3713900757","Rīgas Vidzemes priekšpilsēta","Rīgas Juglas vidusskola","KVĒLES IELA 64, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1064","rjvs@riga.lv","67533669, 67533664","AIJA","MELLE","Latviešu",1077,"riga"
371310,"3713900742","Rīgas Vidzemes priekšpilsēta","Rīgas 45. vidusskola","ROPAŽU IELA 34, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039","r45vs@riga.lv","67551719","TĀLIS","VEISMANIS","Latviešu",685,"riga"
371311,"3713900751","Rīgas Vidzemes priekšpilsēta","Rīgas 49. vidusskola","KRIŠJĀŅA VALDEMĀRA IELA 65, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1010","r49vs@riga.lv","67274932, 67273859","JURIS","LIEPIŅŠ","Latviešu",830,"riga"
371312,"3713900743","Rīgas Vidzemes priekšpilsēta","Rīgas 60. vidusskola","VAIDAVAS IELA 6, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084","r60vs@riga.lv","67564702, 67564703","NATĀLIJA","DJAKOVA","Krievu",569,"riga"
371313,"3713900755","Rīgas Vidzemes priekšpilsēta","Rīgas 63. vidusskola","BALTEZERA IELA 6, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1024","r63vs@riga.lv","67525764, 67525778","NATAĻJA","NAUMECA","Krievu",715,"riga"
371314,"3713900756","Rīgas Vidzemes priekšpilsēta","Rīgas 64. vidusskola","ŪNIJAS IELA 93, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084","r64vs@riga.lv","67598929, 67599590","DACE","LĀCE","Latviešu",1045,"riga"
371315,"3713900758","Rīgas Vidzemes priekšpilsēta","Rīgas 74. vidusskola","INDUĻA IELA 4, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084","r74vs@riga.lv","67802533, 67599121","IRINA","FROLOVA","Krievu",610,"riga"
371316,"3713900753","Rīgas Vidzemes priekšpilsēta","Rīgas 80. vidusskola","ANDROMEDAS GATVE 11, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084","r80vs@riga.lv","67572997, 67572408","ANNA","VLADOVA","Krievu",735,"riga"
371318,"3713900735","Rīgas Vidzemes priekšpilsēta","Rīgas 84. vidusskola","LIELVĀRDES IELA 141, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1082","r84vs@riga.lv","67572681, 67574690","VINETA","MISGIRDA","Latviešu",910,"riga"
371319,"3713900738","Rīgas Vidzemes priekšpilsēta","Rīgas 85. vidusskola","NĪCGALES IELA 22, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1035","r85vs@riga.lv","67546199","AIJA","MAKŠĀNE","Latviešu",453,"riga"
371320,"3716900736","Rīgas Vidzemes priekšpilsēta","Rīgas Klasiskā ģimnāzija","PURVCIEMA IELA 38, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1035","rklasg@riga.lv","67570888, 67574915","ROMANS","ALIJEVS","Krievu",1472,"riga"
371321,"3713900752","Rīgas Vidzemes priekšpilsēta","Rīgas 89. vidusskola","HIPOKRĀTA IELA 27, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1079","r89vs@riga.lv","67536800, 67536336","MARINA","SERKOVA","Krievu",532,"riga"
371322,"3713900749","Rīgas Vidzemes priekšpilsēta","Rīgas Purvciema vidusskola","DETLAVA BRANTKALNA IELA 5, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1082","pcvs@riga.lv","67578315, 67575453","JURIJS","KĻUKINS","Krievu",1384,"riga"
371323,"3713900754","Rīgas Vidzemes priekšpilsēta","Š.Dubnova Rīgas Ebreju vidusskola","MIERA IELA 62, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013","sdvnrevs@riga.lv","67520855","KARĪNA","BRIKMANE","Krievu",229,"riga"
371325,"3713900741","Rīgas Vidzemes priekšpilsēta","Rīgas Hanzas vidusskola","GROSTONAS IELA 5, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013","hvs@riga.lv","67378489","VALDIS","LAPIŅŠ","Latviešu",921,"riga"
371328,"3713900789","Rīgas Vidzemes priekšpilsēta","Rīgas Itas Kozakēvičas poļu vidusskola","NĪCGALES IELA 15, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1035","ikpvs@riga.lv","67546742, 67598375","TATJANA","BELUGINA","Poļu",322,"riga"
371380,"3713800008","Rīgas Vidzemes priekšpilsēta","Biznesa un vadības privātvidusskola","HIPOKRĀTA IELA 27, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1079","pvsk@latnet.lv","67536262","SANDRA","OZOLA","Latviešu",17,"riga"
371381,"3713801443","Rīgas Vidzemes priekšpilsēta","Privātā vidusskola ""Klasika""","KRIMULDAS IELA 2, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1039","klasika@klasika.edu.lv","67552259","SVETLANA","ŠIBKO-ŠIPKOVSKA","LK",137,"riga"
371383,"3716800001","Rīgas Vidzemes priekšpilsēta","Rīgas Centra krievu privātģimnāzija","KRIŠJĀŅA VALDEMĀRA IELA 113 - 2, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013","centraprivatgimn@tk.lv","67372082, 29405541","ANNA","MOHOVA-KOSAREVSKA","Krievu",17,"riga"
371385,"3713802710","Rīgas Vidzemes priekšpilsēta","Privātā vidusskola ""MAXVEL""","NĪCGALES IELA 4 - 38, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1035","maxvel@mits.lv","67564478","JEĻENA","MIRONOVA","Krievu",0,"riga"
371388,"3713801461","Rīgas Vidzemes priekšpilsēta","Privātā vidusskola ""Laisma""","VESETAS IELA 9, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1013","laisma@apollo.lv","67364436","INGA","LUKAŠĒVIČA","LK",80,"riga"
371389,"3713802628","Rīgas Vidzemes priekšpilsēta","Privātā vidusskola ""INNOVA""","STIRNU IELA 33 - 17, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1084","experiment@experiment.lv","67315033, 67275773","ALEKSANDRS","ZEĻCERMANS","Krievu",93,"riga"
371390,"3713802748","Rīgas Vidzemes priekšpilsēta","Rīgas 1. vidusskola","KRIŠJĀŅA VALDEMĀRA IELA 26, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1010","ic@vidusskola.com","20269995","ĢIRTS","BLEKTE","LK",389,"riga"
371401,"3714900782","Rīgas Vidzemes priekšpilsēta","Rīgas 9. vakara (maiņu) vidusskola","STĀMERIENAS IELA 8, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1006","r9vmvs@riga.lv","67551531","ILZE","DUPATE","LK",545,"riga"
372201,"3720900834","Rīgas Vidzemes priekšpilsēta","Rīgas 4. speciālā internātpamatskola","TIRZAS IELA 2, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1024","r4sips@riga.lv","67524019, 67514132","INTA","PASTERE","LK",152,"riga"
372301,"3723901096","Rīgas Vidzemes priekšpilsēta","Rīgas Sanatorijas internātpamatskola","BRĪVĪBAS GATVE 384A, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1006","rsanips@riga.lv","67541832","ANITA","STUKĀNE","Latviešu",146,"riga"
372501,"3725900835","Rīgas Vidzemes priekšpilsēta","Strazdumuižas internātvidusskola - attīstības centrs vājredzīgiem un neredzīgiem bērniem","JUGLAS IELA 14A, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1024","smivs@riga.lv","67532022, 67533181, 67533081","LIGITA","ĢEIDA","Latviešu",118,"riga"
373020,"3331001255","Rīgas Vidzemes priekšpilsēta","Rīgas Stila un modes profesionālā vidusskola","ŪDEĻU IELA 22, VIDZEMES PRIEKŠPILSĒTA, RĪGA, LV-1064","sekretare@rsm-skola.lv","67532721, 62532416","SILVIJA","VOITIŠĶIS","Latviešu",32,"riga"
381102,"3811900697","Rīgas Zemgales priekšpilsēta","Rīgas Ziepniekkalna sākumskola","VIENĪBAS GATVE 184, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1058","zksk@riga.lv","67670722, 67670723","ASTRĪDA","RAČKOVSKA","Latviešu",327,"riga"
381205,"3812900716","Rīgas Zemgales priekšpilsēta","Friča Brīvzemnieka pamatskola","ZEĻĻU IELA 4, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002","fbps@riga.lv","67617060","BIRUTA","VENCKUS","Latviešu",295,"riga"
381207,"3812900704","Rīgas Zemgales priekšpilsēta","Rīgas Pārdaugavas pamatskola","KARTUPEĻU IELA 2, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1058","pdps@riga.lv","67623155","IRĒNA","ŠINKAREVA","Krievu",425,"riga"
381208,"3812902864","Rīgas Zemgales priekšpilsēta","Rīgas Igauņu pamatskola","ATGĀZENES IELA 26, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004","rigauvs@riga.lv","67601428","URVE","AIVARS","Latviešu",185,"riga"
381280,"3812803036","Rīgas Zemgales priekšpilsēta","Pārdaugavas Montesori pamatskola","INDRIĶA IELA 8, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004","montesori.pardaugava@gmail.com","29401581","DACE","GRAUDIŅA","Latviešu",15,"riga"
381302,"3816900699","Rīgas Zemgales priekšpilsēta","Rīgas Angļu ģimnāzija","ZVĀRDES IELA 1, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004","rag@riga.lv","67612425","MAIJA","KOKARE","Latviešu",1018,"riga"
381305,"3813900728","Rīgas Zemgales priekšpilsēta","Rīgas 47. vidusskola","SKAISTKALNES IELA 7, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1004","r47vs@riga.lv","67629267","INETA","KAREĻINA","Latviešu",510,"riga"
381306,"3813900725","Rīgas Zemgales priekšpilsēta","Rīgas 53. vidusskola","MELNSILA IELA 6, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1046","r53vs@riga.lv","67611126","INGUNA","SLAPIŅA","LK",450,"riga"
381308,"3813900726","Rīgas Zemgales priekšpilsēta","Rīgas 61. vidusskola","PĀRSLAS IELA 14, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002","r61vs@riga.lv","67615098, 67618962","ELEONORA","GUSEVA","Krievu",325,"riga"
381309,"3819900703","Rīgas Zemgales priekšpilsēta","Āgenskalna Valsts ģimnāzija","LAVĪZES IELA 2A, ZEMGALES PRIEKŠPILSĒTA, RĪGA, LV-1002","avg@riga.lv","67611185, 67614133","INĀRA","GAILE","Latviešu",795,"riga"
